State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Number of Days in Package,Average Daily Activity Cost,Average Daily Food Cost,Number of Famous Places Covered,Overall Rating (Out of 5),Discount Percentage,Train Cost (Low),Train Cost (High),Bus Cost (Low),Bus Cost (High),Flight Cost (Low),Flight Cost (High),Car Rental Cost (Low),Car Rental Cost (High)
Meghalaya,Sunny,Medium,10350,Cost Level: Low,Local Cuisine: 1850 INR per day,3-star: 1375 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Moderate,4.2/5,Summer,"Khasi, Garo",Moderately Safe,Yes,Local Traditions,3,759,1850,2,4.2,10,614,1713,207,865,4852,6303,1635,3246
Assam,Sunny,Medium,32138,Cost Level: Low,Local Cuisine: 585 INR per day,Homestay: 3932 INR per night,"Kaziranga National Park, Majuli Island",Wildlife Safari,Moderate,3.7/5,Monsoon,Assamese,Moderately Safe,No,Local Traditions,8,814,585,2,3.7,6,304,1397,292,694,3420,7578,1268,2629
Assam,Pleasant,High,38474,Cost Level: Low,Local Cuisine: 1250 INR per day,3-star: 1537 INR per night,"Kaziranga National Park, Majuli Island",Trekking,Low,3.6/5,Monsoon,Assamese,Moderately Safe,No,Local Traditions,5,612,1250,2,3.6,5,694,1683,146,954,4115,6298,1214,3295
Nagaland,Pleasant,Low,8816,Cost Level: High,Local Cuisine: 644 INR per day,3-star: 1803 INR per night,"Kohima War Cemetery, Dzükou Valley",Cultural Tours,Moderate,4.8/5,Winter,"English, Nagamese",Very Safe,Yes,Festival,5,1995,644,2,4.8,9,702,1111,245,513,3929,7272,1302,2673
Meghalaya,Rainy,High,22494,Cost Level: High,Local Cuisine: 708 INR per day,Luxury Resort: 4157 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours",Low,4.2/5,Winter,"Khasi, Garo",Very Safe,Yes,Local Traditions,5,1599,708,2,4.2,25,513,1229,120,767,3958,8166,1806,3742
Arunachal Pradesh,Chilly,High,11854,Cost Level: Low,Local Cuisine: 1499 INR per day,3-star: 3761 INR per night,"Tawang Monastery, Ziro Valley",Trekking,High,4.4/5,Summer,"Hindi, English",Very Safe,No,Local Traditions,5,570,1499,2,4.4,11,345,1924,103,823,3037,6544,859,3088
Nagaland,Chilly,Low,30668,Cost Level: High,Local Cuisine: 579 INR per day,Homestay: 3721 INR per night,"Kohima War Cemetery, Dzükou Valley",Trekking,High,4.9/5,Summer,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions,7,1641,579,2,4.9,14,655,1943,210,570,4843,7681,1233,3612
Tripura,Chilly,High,12980,Cost Level: High,Local Cuisine: 513 INR per day,Homestay: 3742 INR per night,"Neermahal, Ujjayanta Palace","Boating, Trekking",Moderate,4.9/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Festival,9,1360,513,2,4.9,6,301,1483,236,872,3851,8457,1009,3410
Nagaland,Rainy,Low,34631,Cost Level: Low,Local Cuisine: 1789 INR per day,3-star: 2144 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Boating",High,3.9/5,Summer,"English, Nagamese",Very Safe,Yes,Local Traditions,8,965,1789,2,3.9,23,687,1132,211,952,4659,9317,1009,2755
Tripura,Rainy,Low,7840,Cost Level: Low,Local Cuisine: 1542 INR per day,3-star: 3625 INR per night,"Neermahal, Ujjayanta Palace","Boating, Cultural Tours, River Rafting",Moderate,4.0/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,6,1856,1542,2,4.0,22,643,1693,172,907,4963,7797,1988,3906
Arunachal Pradesh,Rainy,Medium,5123,Cost Level: Low,Local Cuisine: 1914 INR per day,Homestay: 4776 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Wildlife Safari",Moderate,4.8/5,Winter,"Hindi, English",Very Safe,No,Festival,4,1708,1914,2,4.8,12,679,1035,264,843,4130,8853,1218,3347
Nagaland,Rainy,Low,49641,Cost Level: High,Local Cuisine: 532 INR per day,Luxury Resort: 1532 INR per night,"Kohima War Cemetery, Dzükou Valley",River Rafting,Low,3.9/5,Summer,"English, Nagamese",Very Safe,Yes,Festival,10,1012,532,2,3.9,10,403,1968,118,680,3751,8889,1884,2987
Nagaland,Pleasant,Low,5356,Cost Level: Low,Local Cuisine: 1182 INR per day,Homestay: 3505 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, River Rafting, Trekking",Low,3.9/5,Summer,"English, Nagamese",Moderately Safe,No,Art Exhibitions,8,1166,1182,2,3.9,8,403,1137,192,915,3182,8755,1247,3729
Manipur,Pleasant,High,10543,Cost Level: Low,Local Cuisine: 1011 INR per day,Homestay: 3542 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, River Rafting, Wildlife Safari",High,4.8/5,Winter,Manipuri,Very Safe,No,Festival,3,1473,1011,2,4.8,18,564,1230,181,526,4347,8028,1831,3868
Manipur,Rainy,Low,42300,Cost Level: High,Local Cuisine: 1979 INR per day,Luxury Resort: 4870 INR per night,"Kangla Fort, Loktak Lake","Cultural Tours, Wildlife Safari",High,4.5/5,Winter,Manipuri,Moderately Safe,Yes,Festival,9,1799,1979,2,4.5,11,427,1225,204,821,4610,6008,932,3828
Tripura,Chilly,High,23093,Cost Level: High,Local Cuisine: 1225 INR per day,Luxury Resort: 2396 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Trekking",High,4.9/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,5,611,1225,2,4.9,6,680,1285,236,867,3587,9312,1925,2982
Meghalaya,Pleasant,High,33074,Cost Level: High,Local Cuisine: 626 INR per day,Luxury Resort: 4277 INR per night,"Cherrapunji, Living Root Bridges","Boating, Wildlife Safari",High,3.7/5,Summer,"Khasi, Garo",Very Safe,Yes,Art Exhibitions,4,540,626,2,3.7,5,349,1533,134,922,3223,8930,1079,3531
Mizoram,Pleasant,Medium,9713,Cost Level: Low,Local Cuisine: 800 INR per day,3-star: 1537 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, River Rafting, Cultural Tours",Low,4.0/5,Summer,Mizo,Very Safe,No,Festival,7,1357,800,2,4.0,15,521,1953,183,969,4000,8181,1420,2997
Arunachal Pradesh,Sunny,Low,12551,Cost Level: High,Local Cuisine: 1493 INR per day,3-star: 4271 INR per night,"Tawang Monastery, Ziro Valley",River Rafting,Low,4.5/5,Summer,"Hindi, English",Very Safe,Yes,Art Exhibitions,4,1862,1493,2,4.5,8,533,1605,250,863,4802,7115,1875,3136
Nagaland,Sunny,Low,46131,Cost Level: High,Local Cuisine: 1109 INR per day,Homestay: 3667 INR per night,"Kohima War Cemetery, Dzükou Valley","Wildlife Safari, Boating",Moderate,3.6/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Local Traditions,9,1770,1109,2,3.6,16,768,1228,111,670,3468,7218,1567,3654
Arunachal Pradesh,Chilly,Medium,18479,Cost Level: High,Local Cuisine: 1259 INR per day,Homestay: 1721 INR per night,"Ziro Valley, Tawang Monastery",Cultural Tours,Low,4.2/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions,5,1778,1259,2,4.2,22,622,1359,252,584,4421,8279,1745,3351
Assam,Sunny,High,25829,Cost Level: High,Local Cuisine: 874 INR per day,Luxury Resort: 2609 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Trekking",Low,4.0/5,Winter,Assamese,Safe for Solo Travelers,No,Art Exhibitions,9,1126,874,2,4.0,23,790,1040,183,814,3964,9758,1907,3036
Nagaland,Rainy,High,35669,Cost Level: High,Local Cuisine: 1294 INR per day,Homestay: 2573 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Moderate,4.1/5,Winter,"English, Nagamese",Very Safe,Yes,Local Traditions,6,1861,1294,2,4.1,13,347,1718,178,705,3620,8630,1744,3907
Arunachal Pradesh,Chilly,Medium,12669,Cost Level: Low,Local Cuisine: 1165 INR per day,3-star: 4198 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Wildlife Safari",High,3.6/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Festival,4,1344,1165,2,3.6,11,727,1745,147,870,3173,7355,1800,3667
Mizoram,Rainy,High,25959,Cost Level: High,Local Cuisine: 1496 INR per day,Luxury Resort: 2062 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Trekking, Boating",Moderate,3.8/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions,3,824,1496,2,3.8,15,526,1839,131,782,3239,9761,931,3969
Mizoram,Pleasant,Low,44560,Cost Level: High,Local Cuisine: 1565 INR per day,3-star: 4815 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, River Rafting",High,3.6/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions,6,1795,1565,2,3.6,23,317,1893,281,720,4606,6000,1986,2610
Nagaland,Rainy,High,27640,Cost Level: High,Local Cuisine: 1374 INR per day,Luxury Resort: 4851 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Wildlife Safari, River Rafting",Low,3.9/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions,3,1487,1374,2,3.9,18,687,1352,115,527,4709,9679,961,3826
Manipur,Rainy,Low,17563,Cost Level: High,Local Cuisine: 1648 INR per day,Homestay: 1923 INR per night,"Kangla Fort, Loktak Lake",Trekking,High,4.0/5,Summer,Manipuri,Moderately Safe,Yes,Festival,5,525,1648,2,4.0,13,478,1770,226,758,4927,6513,1849,3814
Arunachal Pradesh,Sunny,Low,27182,Cost Level: High,Local Cuisine: 1760 INR per day,Luxury Resort: 3036 INR per night,"Tawang Monastery, Ziro Valley","Trekking, Boating, River Rafting",Moderate,4.8/5,Winter,"Hindi, English",Very Safe,Yes,Festival,8,709,1760,2,4.8,8,361,1641,122,730,4307,6006,1871,3836
Meghalaya,Rainy,Low,49913,Cost Level: Low,Local Cuisine: 1725 INR per day,Homestay: 3391 INR per night,"Living Root Bridges, Cherrapunji","Boating, Wildlife Safari",Low,4.4/5,Winter,"Khasi, Garo",Very Safe,Yes,Art Exhibitions,5,1449,1725,2,4.4,9,310,1967,209,547,3736,7650,1853,3746
Meghalaya,Chilly,High,10282,Cost Level: High,Local Cuisine: 526 INR per day,Homestay: 3335 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours",High,4.4/5,Summer,"Khasi, Garo",Very Safe,No,Art Exhibitions,9,1589,526,2,4.4,21,462,1974,179,610,4832,8555,1971,3783
Mizoram,Rainy,Low,26252,Cost Level: Low,Local Cuisine: 1441 INR per day,Luxury Resort: 3985 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Wildlife Safari",Moderate,4.6/5,Monsoon,Mizo,Moderately Safe,No,Festival,9,1940,1441,2,4.6,14,320,1084,195,793,3931,7306,918,2685
Meghalaya,Sunny,High,22609,Cost Level: High,Local Cuisine: 1905 INR per day,3-star: 2798 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, River Rafting",High,4.5/5,Summer,"Khasi, Garo",Very Safe,Yes,Festival,7,1410,1905,2,4.5,15,714,1723,214,779,4908,8294,1937,3283
Meghalaya,Chilly,High,9360,Cost Level: Low,Local Cuisine: 786 INR per day,3-star: 4956 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,High,4.7/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Local Traditions,10,1019,786,2,4.7,21,691,1270,289,957,3662,6752,1870,3084
Nagaland,Sunny,High,11967,Cost Level: High,Local Cuisine: 1790 INR per day,Luxury Resort: 4040 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Low,3.9/5,Monsoon,"English, Nagamese",Moderately Safe,No,Local Traditions,7,1896,1790,2,3.9,6,536,1926,141,618,4893,8486,930,3349
Meghalaya,Chilly,Medium,32866,Cost Level: Low,Local Cuisine: 1357 INR per day,Homestay: 4912 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Boating, Trekking",Moderate,4.0/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,10,1153,1357,2,4.0,11,579,1661,293,705,3318,6122,1048,2884
Mizoram,Chilly,Medium,47869,Cost Level: High,Local Cuisine: 606 INR per day,Homestay: 2886 INR per night,"Phawngpui National Park, Vantawng Falls","Cultural Tours, Trekking",High,4.3/5,Winter,Mizo,Very Safe,Yes,Festival,6,1396,606,2,4.3,5,633,1301,269,991,3692,6914,1691,3135
Mizoram,Pleasant,High,12834,Cost Level: High,Local Cuisine: 711 INR per day,Luxury Resort: 3590 INR per night,"Phawngpui National Park, Vantawng Falls","Wildlife Safari, Trekking, River Rafting",Low,4.0/5,Summer,Mizo,Moderately Safe,No,Art Exhibitions,5,1353,711,2,4.0,20,790,1406,225,850,3775,9749,1167,3578
Mizoram,Pleasant,Medium,30541,Cost Level: High,Local Cuisine: 903 INR per day,Luxury Resort: 3442 INR per night,"Vantawng Falls, Phawngpui National Park",River Rafting,Low,4.3/5,Monsoon,Mizo,Moderately Safe,No,Festival,8,1481,903,2,4.3,15,636,1977,288,760,3992,6152,1622,3168
Meghalaya,Chilly,High,6806,Cost Level: High,Local Cuisine: 781 INR per day,Luxury Resort: 1959 INR per night,"Living Root Bridges, Cherrapunji","Trekking, Wildlife Safari, Boating",Moderate,4.4/5,Monsoon,"Khasi, Garo",Moderately Safe,No,Festival,6,931,781,2,4.4,13,463,1037,259,973,4405,8757,1045,3959
Mizoram,Rainy,High,32682,Cost Level: Low,Local Cuisine: 601 INR per day,3-star: 1946 INR per night,"Phawngpui National Park, Vantawng Falls","Boating, Trekking",Low,3.5/5,Winter,Mizo,Moderately Safe,No,Art Exhibitions,4,552,601,2,3.5,13,428,1337,126,503,3222,7469,1729,3043
Meghalaya,Chilly,High,6127,Cost Level: High,Local Cuisine: 1693 INR per day,Homestay: 1973 INR per night,"Cherrapunji, Living Root Bridges",River Rafting,High,5.0/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Festival,9,927,1693,2,5.0,20,564,1297,134,725,4568,9731,1232,2993
Mizoram,Rainy,High,26542,Cost Level: Low,Local Cuisine: 1125 INR per day,3-star: 4549 INR per night,"Vantawng Falls, Phawngpui National Park","Trekking, River Rafting",High,4.0/5,Summer,Mizo,Safe for Solo Travelers,No,Art Exhibitions,8,1738,1125,2,4.0,23,662,1722,294,635,4586,7330,1163,3842
Tripura,Sunny,Medium,49130,Cost Level: High,Local Cuisine: 1046 INR per day,Homestay: 4193 INR per night,"Ujjayanta Palace, Neermahal",River Rafting,Low,3.9/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Art Exhibitions,4,879,1046,2,3.9,10,441,1521,248,605,4250,9852,2000,2664
Assam,Pleasant,High,14314,Cost Level: Low,Local Cuisine: 1654 INR per day,Luxury Resort: 4041 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Trekking",Low,3.5/5,Winter,Assamese,Very Safe,Yes,Local Traditions,9,1531,1654,2,3.5,7,392,1357,111,822,3109,9011,1167,3413
Assam,Pleasant,Medium,42116,Cost Level: High,Local Cuisine: 1772 INR per day,Homestay: 3459 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Boating",Moderate,4.8/5,Winter,Assamese,Very Safe,Yes,Festival,3,739,1772,2,4.8,26,454,1461,208,742,3256,6118,1801,2521
Manipur,Chilly,Low,47750,Cost Level: High,Local Cuisine: 1507 INR per day,Luxury Resort: 3855 INR per night,"Loktak Lake, Kangla Fort","Trekking, Boating, Cultural Tours",Low,4.9/5,Summer,Manipuri,Safe for Solo Travelers,No,Festival,3,997,1507,2,4.9,16,493,1648,207,697,4150,7357,1311,3187
Nagaland,Pleasant,Medium,41975,Cost Level: High,Local Cuisine: 589 INR per day,Luxury Resort: 3945 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Trekking, Boating",Low,4.7/5,Monsoon,"English, Nagamese",Very Safe,No,Local Traditions,4,1442,589,2,4.7,30,339,1143,207,879,3500,9358,2000,2686
Assam,Pleasant,Medium,12400,Cost Level: High,Local Cuisine: 1560 INR per day,Luxury Resort: 3628 INR per night,"Majuli Island, Kaziranga National Park","Trekking, Cultural Tours, Boating",Low,4.8/5,Summer,Assamese,Very Safe,No,Festival,4,684,1560,2,4.8,29,544,1864,157,621,3984,6061,1935,2786
Manipur,Chilly,Low,29278,Cost Level: Low,Local Cuisine: 935 INR per day,Luxury Resort: 4678 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Trekking",Moderate,3.7/5,Summer,Manipuri,Moderately Safe,Yes,Local Traditions,9,1524,935,2,3.7,13,472,1997,214,507,4056,9884,1909,2515
Manipur,Chilly,High,7407,Cost Level: High,Local Cuisine: 1946 INR per day,Luxury Resort: 1830 INR per night,"Kangla Fort, Loktak Lake",Cultural Tours,Moderate,3.8/5,Winter,Manipuri,Moderately Safe,No,Festival,9,1461,1946,2,3.8,27,579,1446,161,896,4628,7112,1630,3310
Tripura,Sunny,High,22167,Cost Level: High,Local Cuisine: 1838 INR per day,Luxury Resort: 2196 INR per night,"Ujjayanta Palace, Neermahal","Boating, Trekking",High,4.5/5,Summer,"Bengali, Kokborok",Moderately Safe,No,Local Traditions,10,1272,1838,2,4.5,15,453,1571,283,727,3685,8602,1468,2937
Arunachal Pradesh,Pleasant,Medium,22130,Cost Level: High,Local Cuisine: 1594 INR per day,Luxury Resort: 2360 INR per night,"Ziro Valley, Tawang Monastery",Wildlife Safari,Low,4.3/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions,8,1307,1594,2,4.3,25,527,1262,158,910,4146,6333,931,3676
Manipur,Chilly,High,8588,Cost Level: High,Local Cuisine: 610 INR per day,Homestay: 2643 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, River Rafting",Moderate,4.8/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Local Traditions,3,1969,610,2,4.8,5,487,1823,230,882,3207,7455,1287,3360
Assam,Sunny,High,7609,Cost Level: Low,Local Cuisine: 967 INR per day,3-star: 2940 INR per night,"Majuli Island, Kaziranga National Park","Trekking, Cultural Tours",Moderate,4.9/5,Winter,Assamese,Very Safe,No,Art Exhibitions,7,520,967,2,4.9,29,544,1534,239,901,4585,9562,1726,2688
Arunachal Pradesh,Rainy,Low,14769,Cost Level: High,Local Cuisine: 1708 INR per day,Luxury Resort: 1485 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking, Boating",Low,5.0/5,Summer,"Hindi, English",Moderately Safe,No,Festival,9,1080,1708,2,5.0,6,761,1753,204,519,4484,8997,1860,2535
Tripura,Sunny,Low,29007,Cost Level: Low,Local Cuisine: 1414 INR per day,3-star: 4909 INR per night,"Ujjayanta Palace, Neermahal","Wildlife Safari, Cultural Tours",Moderate,3.6/5,Summer,"Bengali, Kokborok",Moderately Safe,No,Local Traditions,3,779,1414,2,3.6,29,342,1851,194,986,4172,8087,1419,3950
Nagaland,Chilly,Low,48866,Cost Level: Low,Local Cuisine: 545 INR per day,Luxury Resort: 1367 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Boating, River Rafting",Low,3.6/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,Yes,Local Traditions,7,576,545,2,3.6,22,566,1444,141,714,4384,8400,1830,3287
Tripura,Pleasant,High,31908,Cost Level: High,Local Cuisine: 880 INR per day,Homestay: 1083 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Trekking, River Rafting",Moderate,4.7/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Festival,8,1596,880,2,4.7,12,501,1772,230,961,3606,9283,1896,3005
Manipur,Pleasant,Medium,39914,Cost Level: Low,Local Cuisine: 1527 INR per day,Luxury Resort: 3868 INR per night,"Kangla Fort, Loktak Lake",Trekking,High,4.1/5,Winter,Manipuri,Moderately Safe,Yes,Art Exhibitions,3,989,1527,2,4.1,26,339,1519,290,866,3245,8686,1484,2823
Arunachal Pradesh,Pleasant,Low,23492,Cost Level: High,Local Cuisine: 776 INR per day,Luxury Resort: 1183 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Trekking",High,3.9/5,Winter,"Hindi, English",Moderately Safe,No,Local Traditions,8,1578,776,2,3.9,11,669,1126,283,512,3381,6546,987,3190
Nagaland,Chilly,High,22914,Cost Level: Low,Local Cuisine: 1233 INR per day,3-star: 2883 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Cultural Tours, River Rafting",Low,4.3/5,Summer,"English, Nagamese",Safe for Solo Travelers,No,Festival,9,1312,1233,2,4.3,24,360,1033,210,920,4147,8754,1459,3279
Assam,Sunny,Low,41813,Cost Level: High,Local Cuisine: 1826 INR per day,Luxury Resort: 1133 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Trekking, Cultural Tours",Low,4.1/5,Summer,Assamese,Moderately Safe,No,Art Exhibitions,4,1389,1826,2,4.1,7,592,1026,101,955,3217,9482,1334,3736
Mizoram,Sunny,High,17325,Cost Level: Low,Local Cuisine: 1981 INR per day,3-star: 1267 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Cultural Tours",High,4.0/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions,10,1414,1981,2,4.0,7,585,1831,244,598,3799,8494,1807,2533
Assam,Sunny,High,12607,Cost Level: High,Local Cuisine: 1529 INR per day,3-star: 1499 INR per night,"Majuli Island, Kaziranga National Park","Boating, Cultural Tours, Trekking",Moderate,4.9/5,Monsoon,Assamese,Very Safe,No,Local Traditions,7,1217,1529,2,4.9,29,593,1010,184,638,3793,8124,1020,3299
Manipur,Rainy,Medium,26794,Cost Level: Low,Local Cuisine: 1625 INR per day,Homestay: 1183 INR per night,"Loktak Lake, Kangla Fort","Boating, Wildlife Safari",Low,4.8/5,Winter,Manipuri,Moderately Safe,Yes,Festival,3,711,1625,2,4.8,19,742,1183,120,656,3388,7722,1671,3684
Manipur,Chilly,High,30599,Cost Level: High,Local Cuisine: 649 INR per day,Homestay: 3344 INR per night,"Kangla Fort, Loktak Lake",Boating,Moderate,4.1/5,Monsoon,Manipuri,Very Safe,No,Art Exhibitions,5,1978,649,2,4.1,22,662,1637,139,727,4450,8028,1462,3113
Tripura,Pleasant,Medium,21178,Cost Level: Low,Local Cuisine: 1310 INR per day,3-star: 2168 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, Trekking, River Rafting",Low,4.4/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,7,1208,1310,2,4.4,8,784,1820,169,926,4409,7034,1052,3406
Tripura,Sunny,Low,33015,Cost Level: Low,Local Cuisine: 1635 INR per day,3-star: 1925 INR per night,"Neermahal, Ujjayanta Palace","Trekking, River Rafting",Moderate,4.7/5,Monsoon,"Bengali, Kokborok",Moderately Safe,Yes,Festival,5,733,1635,2,4.7,8,543,1956,123,985,4534,7324,1104,3735
Arunachal Pradesh,Rainy,High,41360,Cost Level: High,Local Cuisine: 1712 INR per day,Homestay: 3512 INR per night,"Tawang Monastery, Ziro Valley",River Rafting,Low,3.6/5,Summer,"Hindi, English",Moderately Safe,No,Art Exhibitions,5,1956,1712,2,3.6,28,480,1445,133,523,4491,7037,1527,2578
Manipur,Sunny,Medium,41224,Cost Level: Low,Local Cuisine: 1654 INR per day,Luxury Resort: 2118 INR per night,"Kangla Fort, Loktak Lake",Boating,High,4.1/5,Monsoon,Manipuri,Very Safe,Yes,Festival,8,618,1654,2,4.1,28,708,1182,122,573,4010,8614,1044,2873
Manipur,Pleasant,High,25447,Cost Level: Low,Local Cuisine: 547 INR per day,3-star: 2552 INR per night,"Kangla Fort, Loktak Lake",Wildlife Safari,Moderate,3.7/5,Winter,Manipuri,Safe for Solo Travelers,Yes,Local Traditions,6,574,547,2,3.7,15,618,1517,117,904,3382,7511,1875,3900
Manipur,Rainy,Medium,39704,Cost Level: Low,Local Cuisine: 1557 INR per day,3-star: 2399 INR per night,"Kangla Fort, Loktak Lake","Trekking, Cultural Tours",Moderate,4.9/5,Summer,Manipuri,Safe for Solo Travelers,Yes,Local Traditions,5,622,1557,2,4.9,24,748,1263,111,918,4242,9808,1248,3442
Assam,Chilly,Medium,5316,Cost Level: Low,Local Cuisine: 1369 INR per day,Luxury Resort: 3775 INR per night,"Majuli Island, Kaziranga National Park",Trekking,Low,4.8/5,Monsoon,Assamese,Very Safe,No,Art Exhibitions,3,672,1369,2,4.8,12,584,1349,241,946,3970,7921,1476,3194
Tripura,Pleasant,Medium,26113,Cost Level: High,Local Cuisine: 1807 INR per day,Luxury Resort: 1854 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Boating, River Rafting",High,3.7/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Local Traditions,6,788,1807,2,3.7,14,721,1204,104,759,4523,8510,1820,3364
Arunachal Pradesh,Rainy,Low,17273,Cost Level: Low,Local Cuisine: 995 INR per day,Luxury Resort: 3004 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Trekking",Low,4.6/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Festival,10,1011,995,2,4.6,18,616,1933,154,706,3509,7246,1890,3995
Arunachal Pradesh,Pleasant,Low,33583,Cost Level: Low,Local Cuisine: 657 INR per day,Homestay: 3073 INR per night,"Ziro Valley, Tawang Monastery",Cultural Tours,Moderate,4.4/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions,10,1777,657,2,4.4,25,596,1874,168,770,3288,6146,996,3335
Mizoram,Pleasant,Medium,24409,Cost Level: Low,Local Cuisine: 672 INR per day,3-star: 2326 INR per night,"Phawngpui National Park, Vantawng Falls",Cultural Tours,Moderate,3.8/5,Winter,Mizo,Moderately Safe,No,Art Exhibitions,4,702,672,2,3.8,9,349,1338,181,896,3362,6015,1348,2899
Mizoram,Chilly,Medium,21494,Cost Level: High,Local Cuisine: 865 INR per day,3-star: 4004 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, Wildlife Safari",Moderate,4.6/5,Monsoon,Mizo,Safe for Solo Travelers,Yes,Art Exhibitions,10,1569,865,2,4.6,25,798,1831,162,994,3485,6243,967,2840
Tripura,Sunny,Low,12844,Cost Level: High,Local Cuisine: 1172 INR per day,Luxury Resort: 4931 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, River Rafting, Trekking",Moderate,3.7/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Festival,9,1578,1172,2,3.7,26,716,1626,104,860,3827,6575,1517,3906
Mizoram,Pleasant,Low,17835,Cost Level: High,Local Cuisine: 677 INR per day,Homestay: 1426 INR per night,"Vantawng Falls, Phawngpui National Park",Wildlife Safari,High,4.0/5,Summer,Mizo,Moderately Safe,No,Festival,5,574,677,2,4.0,16,516,1996,116,873,4716,7330,1685,3697
Meghalaya,Rainy,Low,49284,Cost Level: High,Local Cuisine: 1462 INR per day,3-star: 4427 INR per night,"Cherrapunji, Living Root Bridges",Boating,Low,3.9/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,10,1713,1462,2,3.9,8,342,1061,242,783,4730,7206,851,2846
Assam,Pleasant,High,42728,Cost Level: High,Local Cuisine: 1571 INR per day,Homestay: 4546 INR per night,"Kaziranga National Park, Majuli Island","Boating, River Rafting",Low,3.5/5,Winter,Assamese,Safe for Solo Travelers,No,Art Exhibitions,5,1080,1571,2,3.5,26,574,1800,193,570,4385,9685,1575,2952
Tripura,Rainy,Medium,45437,Cost Level: Low,Local Cuisine: 1853 INR per day,Homestay: 1539 INR per night,"Ujjayanta Palace, Neermahal",Cultural Tours,High,3.9/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions,9,688,1853,2,3.9,20,728,1675,177,790,3483,9991,837,3102
